Attrition,Age,BusinessTravel,MaritalStatus,DistanceFromHome,Education,JobLevel,Department,DailyRate,HourlyRate,MonthlyIncome,MonthlyRate,PercentSalaryHike,NumCompaniesWorked,StandardHours,OverTime,TrainingTimesLastYear,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,49,Travel_Frequently,Married,8,1,2,Research & Development,279,61,5130,24907,23,1,8,No,3,10,10,7,1,7
0,33,Travel_Frequently,Married,3,4,1,Research & Development,1392,56,2909,23159,11,1,8,Yes,3,8,8,7,3,0
0,27,Travel_Rarely,Married,2,1,1,Research & Development,591,40,3468,16632,12,9,8,No,3,6,2,2,2,2
0,32,Travel_Frequently,Single,2,2,1,Research & Development,1005,79,3068,11864,13,0,8,No,2,8,7,7,3,6
0,59,Travel_Rarely,Married,3,3,1,Research & Development,1324,81,2670,9964,20,4,8,Yes,3,12,1,0,0,0
0,30,Travel_Rarely,Divorced,24,1,1,Research & Development,1358,67,2693,13335,22,1,8,No,2,1,1,0,0,0
0,38,Travel_Frequently,Single,23,3,3,Research & Development,216,44,9526,8787,21,0,8,No,2,10,9,7,1,8
0,36,Travel_Rarely,Married,27,3,2,Research & Development,1299,94,5237,16577,13,6,8,No,3,17,7,7,7,7
0,35,Travel_Rarely,Married,16,3,1,Research & Development,809,84,2426,16479,13,0,8,No,5,6,5,4,0,3
0,29,Travel_Rarely,Single,15,2,2,Research & Development,153,49,4193,12682,12,0,8,Yes,3,10,9,5,0,8
0,31,Travel_Rarely,Divorced,26,1,1,Research & Development,670,31,2911,15170,17,1,8,No,1,5,5,2,4,3
0,34,Travel_Rarely,Divorced,19,2,1,Research & Development,1346,93,2661,8758,11,0,8,No,2,3,2,2,1,2
0,29,Travel_Rarely,Divorced,21,4,3,Research & Development,1389,51,9980,10195,11,1,8,No,1,10,10,9,8,8
0,32,Travel_Rarely,Divorced,5,2,1,Research & Development,334,80,3298,15053,12,0,8,Yes,5,7,6,2,0,5
0,22,Non-Travel,Divorced,16,2,1,Research & Development,1123,96,2935,7324,13,1,8,Yes,2,1,1,0,0,0
0,53,Travel_Rarely,Married,2,4,4,Sales,1219,78,15427,22021,16,2,8,No,3,31,25,8,3,7
0,38,Travel_Rarely,Single,2,3,1,Research & Development,371,45,3944,4306,11,5,8,Yes,3,6,3,2,1,2
0,24,Non-Travel,Divorced,11,2,2,Research & Development,673,96,4011,8232,18,0,8,No,5,5,4,2,1,3
0,34,Travel_Rarely,Single,7,4,3,Research & Development,419,53,11994,21293,11,0,8,No,4,13,12,6,2,11
0,21,Travel_Rarely,Single,15,2,1,Research & Development,391,96,1232,19281,14,1,8,No,6,0,0,0,0,0
0,53,Travel_Rarely,Divorced,5,3,5,Research & Development,1282,58,19094,10735,11,4,8,No,3,26,14,13,4,8
0,42,Travel_Rarely,Married,8,4,2,Sales,691,48,6825,21173,11,0,8,No,2,10,9,7,4,2
0,44,Travel_Rarely,Married,7,4,3,Research & Development,477,42,10248,2094,14,3,8,No,4,24,22,6,5,17
0,46,Travel_Rarely,Single,2,4,5,Sales,705,83,18947,22822,12,3,8,No,2,22,2,2,2,1
0,33,Travel_Rarely,Single,2,3,1,Research & Development,924,78,2496,6670,11,4,8,No,3,7,1,1,0,0
0,44,Travel_Rarely,Married,10,4,2,Research & Development,1459,41,6465,19121,13,2,8,Yes,5,9,4,2,1,3
0,30,Travel_Rarely,Single,9,2,1,Research & Development,125,83,2206,16117,13,1,8,No,5,10,10,0,1,8
0,43,Travel_Rarely,Divorced,2,2,1,Research & Development,1273,72,2645,21923,12,1,8,No,3,6,5,3,1,4
